date,open,high,low,close,volume
2022-08-23,13.68,13.9,12.78,13.58,967879.04
2022-08-24,13.59,14.5,12.94,13.83,905224.82
2022-08-25,13.83,14.19,13.34,13.58,813836.76
2022-08-26,13.58,13.62,11.99,12.26,942119.18
2022-08-27,12.24,12.36,11.65,11.91,510957.13
2022-08-28,11.92,12.14,11.24,11.31,417342.72
2022-08-29,11.32,12.71,11.18,12.57,715741.71
2022-08-30,12.57,12.77,11.77,12.19,584553.5
2022-08-31,12.19,12.8,12.19,12.47,503022.27
2022-09-01,12.48,13.53,12.4,13.44,1077011.52
2022-09-02,13.44,14.08,13.04,13.75,770026.24
2022-09-03,13.75,14.19,13.54,14.03,457337.37
2022-09-04,14.03,14.04,13.38,13.72,458600.22
2022-09-05,13.72,14.95,13.13,14.53,805922.12
2022-09-06,14.53,15.4,13.88,14.22,1649756.91
2022-09-07,14.21,15.22,13.17,14.82,1393864.83
2022-09-08,14.81,15.98,14.44,15.7,1113370.78
2022-09-09,15.71,16.49,15.23,15.48,1343892.36
2022-09-10,15.48,16.25,15.0,15.56,1142380.81
2022-09-11,15.56,16.27,15.1,15.72,1136832.89
2022-09-12,15.71,15.96,14.55,15.09,1003499.68
2022-09-13,15.09,15.1,13.89,14.51,1250273.38
2022-09-14,14.51,15.29,14.04,14.67,1237710.31
2022-09-15,14.66,14.82,13.75,14.19,1528771.63
2022-09-16,14.19,15.21,13.96,14.52,1537293.37
2022-09-17,14.52,14.79,13.82,14.54,857154.36
2022-09-18,14.55,14.59,11.97,12.82,1012542.0
2022-09-19,12.82,14.15,12.41,13.67,1264833.84
2022-09-20,13.67,13.9,13.12,13.42,826919.41
2022-09-21,13.42,14.45,13.17,13.44,951979.9
2022-09-22,13.44,14.27,13.4,13.92,705849.0
2022-09-23,13.92,14.44,13.33,13.99,679389.55
2022-09-24,14.0,14.26,13.47,13.62,376495.76
2022-09-25,13.61,14.56,13.51,13.79,598521.82
2022-09-26,13.8,14.98,13.55,14.83,867528.02
2022-09-27,14.85,15.9,14.62,15.33,1371418.23
2022-09-28,15.34,16.46,14.12,15.86,1687949.6
2022-09-29,15.87,16.29,15.15,15.72,1332542.4
2022-09-30,15.72,16.59,15.22,16.08,1396428.65
2022-10-01,16.06,16.06,14.7,14.95,749624.75
2022-10-02,14.95,15.22,14.12,14.21,621697.88
2022-10-03,14.22,15.74,14.03,15.63,855874.49
